State Code,State Name,Language,Total
0.0,INDIA,BHOTIA ,16.0
0.0,INDIA,BHUMIJ ,30.0
0.0,INDIA,BISHNUPURIYA,14.0
0.0,INDIA,CHAKHESANG ,10.0
0.0,INDIA,CHAKRU/CHOKRI ,9.0
0.0,INDIA,CHANG ,4.0
0.0,INDIA,COORGI/KODAGU ,11.0
0.0,INDIA,DEORI ,1633.0
0.0,INDIA,DIMASA ,236.0
0.0,INDIA,ENGLISH ,984983.0
0.0,INDIA,GARO ,6828.0
0.0,INDIA,GONDI,40.0
0.0,INDIA,HALABI,2.0
0.0,INDIA,HALAM ,26.0
0.0,INDIA,HMAR,35.0
0.0,INDIA,HO,10.0
0.0,INDIA,KABUI ,4.0
0.0,INDIA,KARBI/MIKIR ,10711.0
0.0,INDIA,KHANDESHI,7.0
0.0,INDIA,KHARIA ,163.0
0.0,INDIA,KHASI ,1566.0
0.0,INDIA,KHEZHA ,2.0
0.0,INDIA,KHIEMNUNGAN,5.0
0.0,INDIA,KOCH ,131.0
0.0,INDIA,KONDA,6.0
0.0,INDIA,KONYAK ,8.0
0.0,INDIA,KORWA ,69.0
0.0,INDIA,KOYA ,2.0
0.0,INDIA,KUI ,69.0
0.0,INDIA,KUKI,159.0
0.0,INDIA,KURUKH/ORAON ,45.0
0.0,INDIA,LADAKHI ,7.0
0.0,INDIA,LAHNDA ,12.0
0.0,INDIA,LAKHER,1.0
0.0,INDIA,LALUNG ,649.0
0.0,INDIA,LIANGMEI ,36.0
0.0,INDIA,LIMBU ,7.0
0.0,INDIA,LOTHA ,50.0
0.0,INDIA,LUSHAI/MIZO ,141.0
0.0,INDIA,MALTO ,1.0
0.0,INDIA,MAO,1.0
0.0,INDIA,MARAM,62.0
0.0,INDIA,MIRI/MISHING,25208.0
0.0,INDIA,MISHMI ,110.0
0.0,INDIA,MOGH ,3.0
0.0,INDIA,MUNDA,2361.0
0.0,INDIA,MUNDARI ,262.0
0.0,INDIA,NISSI/DAFLA ,99.0
0.0,INDIA,NOCTE ,14.0
0.0,INDIA,PARJI ,5.0
0.0,INDIA,PHOM ,9.0
0.0,INDIA,POCHURY,2.0
0.0,INDIA,RABHA ,9120.0
0.0,INDIA,RAI ,5.0
0.0,INDIA,RENGMA ,20.0
0.0,INDIA,SANGTAM ,24.0
0.0,INDIA,SAVARA,404.0
0.0,INDIA,SEMA,18.0
0.0,INDIA,SHINA,1.0
0.0,INDIA,TAMANG ,4.0
0.0,INDIA,TANGKHUL ,3.0
0.0,INDIA,TANGSA,49.0
0.0,INDIA,THADO ,1.0
0.0,INDIA,TIBETAN ,17.0
0.0,INDIA,TRIPURI ,33.0
0.0,INDIA,TULU ,14.0
0.0,INDIA,VAIPHEI ,11.0
0.0,INDIA,WANCHO,145.0
0.0,INDIA,YIMCHUNGRE,14.0
0.0,INDIA,ZELIANG ,2.0
0.0,INDIA,ZOU ,3.0
0.0,INDIA,OTHERS,24853.0
0.0,INDIA,ASSAMESE,3387481.0
0.0,INDIA,BODO ,3054.0
0.0,INDIA,DOGRI ,26.0
0.0,INDIA,GUJARATI,9412.0
0.0,INDIA,HINDI ,8377865.0
0.0,INDIA,KANNADA,10451.0
0.0,INDIA,KASHMIRI ,935.0
0.0,INDIA,KONKANI,250.0
0.0,INDIA,MAITHILI ,1841.0
0.0,INDIA,MALAYALAM,1625.0
0.0,INDIA,MANIPURI ,6217.0
0.0,INDIA,MARATHI ,23748.0
0.0,INDIA,NEPALI ,23524.0
0.0,INDIA,ODIA ,402794.0
0.0,INDIA,PUNJABI ,2757.0
0.0,INDIA,SANSKRIT ,9354.0
0.0,INDIA,SANTALI ,111072.0
0.0,INDIA,SINDHI,583.0
0.0,INDIA,TAMIL ,4171.0
0.0,INDIA,TELUGU ,5857.0
0.0,INDIA,URDU,175907.0
0.0,INDIA,ADI ,202.0
0.0,INDIA,AFGHANI/KABULI/PASHTO ,2.0
0.0,INDIA,ANGAMI ,17.0
