State Code,State Name,Type,Age Group,Two Total,Two Male,Two Female,Three Total,Three Male,Three Female
2,HIMACHAL PRADESH,Rural,Total,700701,375762,324939,280817,163039,117778
2,HIMACHAL PRADESH,Rural,5-9,49468,26115,23353,5197,2871,2326
2,HIMACHAL PRADESH,Rural,10-14,79738,42448,37290,24871,13369,11502
2,HIMACHAL PRADESH,Rural,15-19,76865,41069,35796,44018,22842,21176
2,HIMACHAL PRADESH,Rural,20-24,79920,41476,38444,44980,22873,22107
2,HIMACHAL PRADESH,Rural,25-29,72816,36925,35891,37965,19738,18227
2,HIMACHAL PRADESH,Rural,30-49,222512,117826,104686,89215,53849,35366
2,HIMACHAL PRADESH,Rural,50-69,94817,54916,39901,29264,23010,6254
2,HIMACHAL PRADESH,Rural,70+,23735,14510,9225,4985,4304,681
2,HIMACHAL PRADESH,Rural,Age not stated,830,477,353,322,183,139
2,HIMACHAL PRADESH,Urban,Total,194718,107726,86992,66469,37439,29030
2,HIMACHAL PRADESH,Urban,5-9,10036,5399,4637,1348,769,579
2,HIMACHAL PRADESH,Urban,10-14,18876,10610,8266,4612,2566,2046
2,HIMACHAL PRADESH,Urban,15-19,21405,11801,9604,7280,3935,3345
2,HIMACHAL PRADESH,Urban,20-24,23448,12851,10597,7859,4146,3713
2,HIMACHAL PRADESH,Urban,25-29,21817,11951,9866,7600,3984,3616
2,HIMACHAL PRADESH,Urban,30-49,67008,36692,30316,23582,12882,10700
2,HIMACHAL PRADESH,Urban,50-69,26535,15276,11259,11723,7340,4383
2,HIMACHAL PRADESH,Urban,70+,5405,3038,2367,2411,1785,626
2,HIMACHAL PRADESH,Urban,Age not stated,188,108,80,54,32,22
3,PUNJAB,Total,Total,5205311,2900342,2304969,7829913,4383841,3446072
3,PUNJAB,Total,5-9,286397,157010,129387,182720,101811,80909
3,PUNJAB,Total,10-14,684949,382728,302221,737273,408297,328976
3,PUNJAB,Total,15-19,650158,368767,281391,1289483,700576,588907
3,PUNJAB,Total,20-24,598747,328919,269828,1267339,653430,613909
3,PUNJAB,Total,25-29,549947,299288,250659,1002556,517566,484990
3,PUNJAB,Total,30-49,1606582,880329,726253,2322915,1306172,1016743
3,PUNJAB,Total,50-69,685556,395789,289767,881384,586330,295054
3,PUNJAB,Total,70+,137069,84368,52701,137067,104602,32465
3,PUNJAB,Total,Age not stated,5906,3144,2762,9176,5057,4119
3,PUNJAB,Rural,Total,2852310,1593793,1258517,4230870,2404467,1826403
3,PUNJAB,Rural,5-9,133567,72633,60934,85168,47132,38036
3,PUNJAB,Rural,10-14,416661,232138,184523,441821,241904,199917
3,PUNJAB,Rural,15-19,407500,229868,177632,814423,440271,374152
3,PUNJAB,Rural,20-24,352624,190068,162556,752594,384833,367761
3,PUNJAB,Rural,25-29,302846,160694,142152,553822,286558,267264
3,PUNJAB,Rural,30-49,850172,463634,386538,1169080,688702,480378
3,PUNJAB,Rural,50-69,323078,199081,123997,351988,264840,87148
3,PUNJAB,Rural,70+,62211,43737,18474,55969,46863,9106
3,PUNJAB,Rural,Age not stated,3651,1940,1711,6005,3364,2641
3,PUNJAB,Urban,Total,2353001,1306549,1046452,3599043,1979374,1619669
3,PUNJAB,Urban,5-9,152830,84377,68453,97552,54679,42873
3,PUNJAB,Urban,10-14,268288,150590,117698,295452,166393,129059
3,PUNJAB,Urban,15-19,242658,138899,103759,475060,260305,214755
3,PUNJAB,Urban,20-24,246123,138851,107272,514745,268597,246148
3,PUNJAB,Urban,25-29,247101,138594,108507,448734,231008,217726
3,PUNJAB,Urban,30-49,756410,416695,339715,1153835,617470,536365
3,PUNJAB,Urban,50-69,362478,196708,165770,529396,321490,207906
3,PUNJAB,Urban,70+,74858,40631,34227,81098,57739,23359
3,PUNJAB,Urban,Age not stated,2255,1204,1051,3171,1693,1478
4,CHANDIGARH,Total,Total,257941,144341,113600,321979,178557,143422
4,CHANDIGARH,Total,5-9,17059,9321,7738,8546,4769,3777
4,CHANDIGARH,Total,10-14,24413,13727,10686,27428,15536,11892
4,CHANDIGARH,Total,15-19,27583,15927,11656,41223,22603,18620
4,CHANDIGARH,Total,20-24,33233,19161,14072,46022,24462,21560
4,CHANDIGARH,Total,25-29,30669,17284,13385,37130,19888,17242
4,CHANDIGARH,Total,30-49,85106,47820,37286,97908,53148,44760
4,CHANDIGARH,Total,50-69,32856,17891,14965,52830,31082,21748
4,CHANDIGARH,Total,70+,6958,3176,3782,10827,7034,3793
4,CHANDIGARH,Total,Age not stated,64,34,30,65,35,30
4,CHANDIGARH,Rural,Total,7370,4422,2948,4353,2647,1706
4,CHANDIGARH,Rural,5-9,484,242,242,117,63,54
4,CHANDIGARH,Rural,10-14,712,408,304,426,238,188
4,CHANDIGARH,Rural,15-19,732,475,257,690,391,299
4,CHANDIGARH,Rural,20-24,969,613,356,713,413,300
4,CHANDIGARH,Rural,25-29,1129,652,477,661,388,273
4,CHANDIGARH,Rural,30-49,2548,1588,960,1375,872,503
4,CHANDIGARH,Rural,50-69,689,385,304,323,241,82
4,CHANDIGARH,Rural,70+,107,59,48,45,39,6
4,CHANDIGARH,Rural,Age not stated,0,0,0,3,2,1
4,CHANDIGARH,Urban,Total,250571,139919,110652,317626,175910,141716
4,CHANDIGARH,Urban,5-9,16575,9079,7496,8429,4706,3723
4,CHANDIGARH,Urban,10-14,23701,13319,10382,27002,15298,11704
4,CHANDIGARH,Urban,15-19,26851,15452,11399,40533,22212,18321
4,CHANDIGARH,Urban,20-24,32264,18548,13716,45309,24049,21260
4,CHANDIGARH,Urban,25-29,29540,16632,12908,36469,19500,16969
4,CHANDIGARH,Urban,30-49,82558,46232,36326,96533,52276,44257
4,CHANDIGARH,Urban,50-69,32167,17506,14661,52507,30841,21666
4,CHANDIGARH,Urban,70+,6851,3117,3734,10782,6995,3787
4,CHANDIGARH,Urban,Age not stated,64,34,30,62,33,29
5,UTTARAKHAND,Total,Total,1569934,873233,696701,187822,109529,78293
5,UTTARAKHAND,Total,5-9,97823,51751,46072,4215,2203,2012
5,UTTARAKHAND,Total,10-14,181937,97471,84466,15904,8455,7449
5,UTTARAKHAND,Total,15-19,228140,123001,105139,29527,15281,14246
5,UTTARAKHAND,Total,20-24,216327,117576,98751,30022,16609,13413
5,UTTARAKHAND,Total,25-29,170870,92707,78163,22692,12905,9787
5,UTTARAKHAND,Total,30-49,444627,253044,191583,55013,33589,21424
5,UTTARAKHAND,Total,50-69,185901,111308,74593,24489,16063,8426
5,UTTARAKHAND,Total,70+,41576,24769,16807,5732,4297,1435
5,UTTARAKHAND,Total,Age not stated,2733,1606,1127,228,127,101
5,UTTARAKHAND,Rural,Total,764620,425075,339545,70611,42893,27718
5,UTTARAKHAND,Rural,5-9,55824,29443,26381,1803,938,865
5,UTTARAKHAND,Rural,10-14,100492,53159,47333,7482,3936,3546
5,UTTARAKHAND,Rural,15-19,119452,63715,55737,14319,7686,6633
5,UTTARAKHAND,Rural,20-24,103670,56137,47533,12656,7192,5464
5,UTTARAKHAND,Rural,25-29,77874,43173,34701,8638,5248,3390
5,UTTARAKHAND,Rural,30-49,203273,117521,85752,18177,12304,5873
5,UTTARAKHAND,Rural,50-69,82928,49465,33463,6182,4552,1630
5,UTTARAKHAND,Rural,70+,20033,11853,8180,1292,1010,282
5,UTTARAKHAND,Rural,Age not stated,1074,609,465,62,27,35
5,UTTARAKHAND,Urban,Total,805314,448158,357156,117211,66636,50575
5,UTTARAKHAND,Urban,5-9,41999,22308,19691,2412,1265,1147
5,UTTARAKHAND,Urban,10-14,81445,44312,37133,8422,4519,3903
5,UTTARAKHAND,Urban,15-19,108688,59286,49402,15208,7595,7613
