State Code,State Name,Age Group,TOT_P,TOT_M,TOT_F
9.0,UTTAR PRADESH,25-29,14579829.0,7466367.0,7113462.0
9.0,UTTAR PRADESH,Age not stated,1622062.0,865933.0,756129.0
9.0,UTTAR PRADESH,30-49,44192083.0,22609942.0,21582141.0
9.0,UTTAR PRADESH,50-69,21596329.0,11125361.0,10470968.0
9.0,UTTAR PRADESH,70+,5894744.0,3109890.0,2784854.0
10.0,BIHAR,Total,104099452.0,54278157.0,49821295.0
10.0,BIHAR,5-9,15036277.0,7796359.0,7239918.0
10.0,BIHAR,10-14,13919882.0,7323831.0,6596051.0
10.0,BIHAR,15-19,9472695.0,5290581.0,4182114.0
10.0,BIHAR,20-24,8064735.0,4210585.0,3854150.0
10.0,BIHAR,25-29,7671705.0,3828687.0,3843018.0
10.0,BIHAR,Age not stated,403502.0,220309.0,183193.0
10.0,BIHAR,30-49,22949064.0,11785560.0,11163504.0
10.0,BIHAR,50-69,11207205.0,5802424.0,5404781.0
10.0,BIHAR,70+,2609358.0,1442950.0,1166408.0
11.0,SIKKIM,Total,610577.0,323070.0,287507.0
11.0,SIKKIM,5-9,56678.0,28688.0,27990.0
11.0,SIKKIM,10-14,66923.0,33965.0,32958.0
11.0,SIKKIM,15-19,66937.0,33998.0,32939.0
11.0,SIKKIM,20-24,67297.0,35146.0,32151.0
11.0,SIKKIM,25-29,64639.0,34700.0,29939.0
11.0,SIKKIM,Age not stated,1176.0,637.0,539.0
11.0,SIKKIM,30-49,161866.0,88242.0,73624.0
11.0,SIKKIM,50-69,66006.0,36571.0,29435.0
11.0,SIKKIM,70+,16719.0,9438.0,7281.0
12.0,ARUNACHAL PRADESH,Total,1383727.0,713912.0,669815.0
12.0,ARUNACHAL PRADESH,5-9,171123.0,86699.0,84424.0
12.0,ARUNACHAL PRADESH,10-14,179359.0,90439.0,88920.0
12.0,ARUNACHAL PRADESH,15-19,155968.0,78673.0,77295.0
12.0,ARUNACHAL PRADESH,20-24,131696.0,66033.0,65663.0
12.0,ARUNACHAL PRADESH,25-29,123714.0,63366.0,60348.0
12.0,ARUNACHAL PRADESH,Age not stated,1509.0,859.0,650.0
12.0,ARUNACHAL PRADESH,30-49,337844.0,178707.0,159137.0
12.0,ARUNACHAL PRADESH,50-69,116414.0,64617.0,51797.0
12.0,ARUNACHAL PRADESH,70+,23221.0,12055.0,11166.0
13.0,NAGALAND,Total,1978502.0,1024649.0,953853.0
13.0,NAGALAND,5-9,233099.0,120647.0,112452.0
13.0,NAGALAND,10-14,248671.0,129237.0,119434.0
13.0,NAGALAND,15-19,229622.0,117994.0,111628.0
13.0,NAGALAND,20-24,204363.0,103769.0,100594.0
13.0,NAGALAND,25-29,176901.0,89598.0,87303.0
13.0,NAGALAND,Age not stated,1471.0,849.0,622.0
13.0,NAGALAND,30-49,475130.0,246610.0,228520.0
13.0,NAGALAND,50-69,170019.0,92359.0,77660.0
13.0,NAGALAND,70+,41964.0,22295.0,19669.0
14.0,MANIPUR,Total,2855794.0,1438586.0,1417208.0
14.0,MANIPUR,5-9,291243.0,149766.0,141477.0
14.0,MANIPUR,10-14,313763.0,161146.0,152617.0
14.0,MANIPUR,15-19,287008.0,144495.0,142513.0
14.0,MANIPUR,20-24,281782.0,139587.0,142195.0
14.0,MANIPUR,25-29,270477.0,132888.0,137589.0
14.0,MANIPUR,Age not stated,7777.0,4232.0,3545.0
14.0,MANIPUR,30-49,737266.0,367510.0,369756.0
14.0,MANIPUR,50-69,328321.0,165792.0,162529.0
14.0,MANIPUR,70+,81475.0,40010.0,41465.0
15.0,MIZORAM,Total,1097206.0,555339.0,541867.0
15.0,MIZORAM,5-9,117788.0,59888.0,57900.0
15.0,MIZORAM,10-14,116981.0,59526.0,57455.0
15.0,MIZORAM,15-19,110343.0,55907.0,54436.0
15.0,MIZORAM,20-24,111708.0,55512.0,56196.0
15.0,MIZORAM,25-29,102346.0,51390.0,50956.0
15.0,MIZORAM,Age not stated,633.0,379.0,254.0
15.0,MIZORAM,30-49,272113.0,138156.0,133957.0
15.0,MIZORAM,50-69,116083.0,59166.0,56917.0
15.0,MIZORAM,70+,27978.0,13874.0,14104.0
16.0,TRIPURA,Total,3673917.0,1874376.0,1799541.0
16.0,TRIPURA,5-9,337735.0,172541.0,165194.0
16.0,TRIPURA,10-14,357690.0,183001.0,174689.0
16.0,TRIPURA,15-19,357829.0,181136.0,176693.0
16.0,TRIPURA,20-24,373177.0,183779.0,189398.0
16.0,TRIPURA,25-29,344149.0,175059.0,169090.0
16.0,TRIPURA,Age not stated,1616.0,867.0,749.0
16.0,TRIPURA,30-49,1010551.0,523092.0,487459.0
16.0,TRIPURA,50-69,446669.0,233131.0,213538.0
16.0,TRIPURA,70+,121935.0,57265.0,64670.0
17.0,MEGHALAYA,Total,2966889.0,1491832.0,1475057.0
17.0,MEGHALAYA,5-9,389182.0,197585.0,191597.0
17.0,MEGHALAYA,10-14,382606.0,193473.0,189133.0
17.0,MEGHALAYA,15-19,326188.0,164716.0,161472.0
17.0,MEGHALAYA,20-24,285012.0,139140.0,145872.0
17.0,MEGHALAYA,25-29,251281.0,124676.0,126605.0
17.0,MEGHALAYA,Age not stated,5784.0,3329.0,2455.0
17.0,MEGHALAYA,30-49,632928.0,319526.0,313402.0
17.0,MEGHALAYA,50-69,235334.0,119505.0,115829.0
17.0,MEGHALAYA,70+,52420.0,24036.0,28384.0
18.0,ASSAM,Total,31205576.0,15939443.0,15266133.0
18.0,ASSAM,5-9,3544339.0,1806346.0,1737993.0
18.0,ASSAM,10-14,3491727.0,1789381.0,1702346.0
18.0,ASSAM,15-19,3068581.0,1595489.0,1473092.0
18.0,ASSAM,20-24,2909405.0,1415580.0,1493825.0
18.0,ASSAM,25-29,2815147.0,1393042.0,1422105.0
18.0,ASSAM,Age not stated,18824.0,9894.0,8930.0
18.0,ASSAM,30-49,8016988.0,4139470.0,3877518.0
18.0,ASSAM,50-69,3328528.0,1749038.0,1579490.0
18.0,ASSAM,70+,799204.0,406281.0,392923.0
19.0,WEST BENGAL,Total,91276115.0,46809027.0,44467088.0
19.0,WEST BENGAL,5-9,8247809.0,4216763.0,4031046.0
19.0,WEST BENGAL,10-14,9156523.0,4677506.0,4479017.0
19.0,WEST BENGAL,15-19,9058031.0,4702325.0,4355706.0
19.0,WEST BENGAL,20-24,8758322.0,4422630.0,4335692.0
19.0,WEST BENGAL,25-29,7997909.0,4044904.0,3953005.0
19.0,WEST BENGAL,Age not stated,112451.0,63752.0,48699.0
19.0,WEST BENGAL,30-49,25343015.0,13021836.0,12321179.0
19.0,WEST BENGAL,50-69,12254977.0,6461816.0,5793161.0
19.0,WEST BENGAL,70+,3013935.0,1453633.0,1560302.0
20.0,JHARKHAND,Total,32988134.0,16930315.0,16057819.0
20.0,JHARKHAND,5-9,4138425.0,2117879.0,2020546.0
20.0,JHARKHAND,10-14,4104396.0,2112627.0,1991769.0
20.0,JHARKHAND,15-19,3205268.0,1714887.0,1490381.0
20.0,JHARKHAND,20-24,2827622.0,1431263.0,1396359.0
20.0,JHARKHAND,25-29,2652639.0,1342314.0,1310325.0
20.0,JHARKHAND,Age not stated,116734.0,62252.0,54482.0
20.0,JHARKHAND,30-49,7766660.0,3987928.0,3778732.0
20.0,JHARKHAND,50-69,3764294.0,1900703.0,1863591.0
20.0,JHARKHAND,70+,763799.0,389328.0,374471.0
21.0,ODISHA,Total,41974218.0,21212136.0,20762082.0
21.0,ODISHA,5-9,4074768.0,2085339.0,1989429.0
21.0,ODISHA,10-14,4348625.0,2203535.0,2145090.0
21.0,ODISHA,15-19,3925398.0,1972684.0,1952714.0
21.0,ODISHA,20-24,3783527.0,1870939.0,1912588.0
21.0,ODISHA,25-29,3574037.0,1772876.0,1801161.0
21.0,ODISHA,Age not stated,119171.0,61347.0,57824.0
21.0,ODISHA,30-49,11179683.0,5671204.0,5508479.0
21.0,ODISHA,50-69,5785118.0,2927299.0,2857819.0
21.0,ODISHA,70+,1530862.0,768786.0,762076.0
22.0,CHHATTISGARH,Total,25545198.0,12832895.0,12712303.0
22.0,CHHATTISGARH,5-9,2758758.0,1404079.0,1354679.0
22.0,CHHATTISGARH,10-14,2884013.0,1461185.0,1422828.0
22.0,CHHATTISGARH,15-19,2599842.0,1319451.0,1280391.0
22.0,CHHATTISGARH,20-24,2389497.0,1193378.0,1196119.0
22.0,CHHATTISGARH,25-29,2057300.0,1049238.0,1008062.0
22.0,CHHATTISGARH,Age not stated,23115.0,12107.0,11008.0
22.0,CHHATTISGARH,30-49,6505399.0,3278664.0,3226735.0
22.0,CHHATTISGARH,50-69,3059852.0,1492956.0,1566896.0
22.0,CHHATTISGARH,70+,726357.0,334867.0,391490.0
23.0,MADHYA PRADESH,Total,72626809.0,37612306.0,35014503.0
23.0,MADHYA PRADESH,5-9,8266455.0,4309693.0,3956762.0
23.0,MADHYA PRADESH,10-14,8564501.0,4439329.0,4125172.0
23.0,MADHYA PRADESH,15-19,7446789.0,3980072.0,3466717.0
23.0,MADHYA PRADESH,20-24,6727579.0,3554088.0,3173491.0
23.0,MADHYA PRADESH,25-29,5787506.0,2988325.0,2799181.0
23.0,MADHYA PRADESH,Age not stated,82862.0,43376.0,39486.0
23.0,MADHYA PRADESH,30-49,17814066.0,9176855.0,8637211.0
23.0,MADHYA PRADESH,50-69,8166920.0,4146233.0,4020687.0
23.0,MADHYA PRADESH,70+,2298845.0,1100088.0,1198757.0
24.0,GUJARAT,Total,60439692.0,31491260.0,28948432.0
24.0,GUJARAT,5-9,5835836.0,3126401.0,2709435.0
24.0,GUJARAT,10-14,6149445.0,3283834.0,2865611.0
24.0,GUJARAT,15-19,5865760.0,3146110.0,2719650.0
24.0,GUJARAT,20-24,5780722.0,3046127.0,2734595.0
24.0,GUJARAT,25-29,5278822.0,2767283.0,2511539.0
24.0,GUJARAT,Age not stated,238844.0,125546.0,113298.0
24.0,GUJARAT,30-49,16291242.0,8431107.0,7860135.0
24.0,GUJARAT,50-69,7649954.0,3848622.0,3801332.0
24.0,GUJARAT,70+,1888735.0,844340.0,1044395.0
25.0,DAMAN & DIU,Total,243247.0,150301.0,92946.0
25.0,DAMAN & DIU,5-9,18506.0,9828.0,8678.0
25.0,DAMAN & DIU,10-14,17321.0,9300.0,8021.0
25.0,DAMAN & DIU,15-19,26314.0,18239.0,8075.0
25.0,DAMAN & DIU,20-24,38584.0,27925.0,10659.0
25.0,DAMAN & DIU,25-29,33181.0,22044.0,11137.0
25.0,DAMAN & DIU,Age not stated,356.0,248.0,108.0
25.0,DAMAN & DIU,30-49,66800.0,41602.0,25198.0
25.0,DAMAN & DIU,50-69,18727.0,9381.0,9346.0
25.0,DAMAN & DIU,70+,4300.0,1714.0,2586.0
26.0,DADRA & NAGAR HAVELI,Total,343709.0,193760.0,149949.0
26.0,DADRA & NAGAR HAVELI,5-9,36249.0,19059.0,17190.0
26.0,DADRA & NAGAR HAVELI,10-14,35003.0,18385.0,16618.0
26.0,DADRA & NAGAR HAVELI,15-19,33104.0,19979.0,13125.0
26.0,DADRA & NAGAR HAVELI,20-24,44301.0,27595.0,16706.0
26.0,DADRA & NAGAR HAVELI,25-29,39885.0,23496.0,16389.0
26.0,DADRA & NAGAR HAVELI,Age not stated,372.0,200.0,172.0
26.0,DADRA & NAGAR HAVELI,30-49,87888.0,51044.0,36844.0
26.0,DADRA & NAGAR HAVELI,50-69,26001.0,13290.0,12711.0
26.0,DADRA & NAGAR HAVELI,70+,4345.0,1810.0,2535.0
27.0,MAHARASHTRA,Total,112374333.0,58243056.0,54131277.0
27.0,MAHARASHTRA,5-9,9820654.0,5178177.0,4642477.0
27.0,MAHARASHTRA,10-14,10734535.0,5662261.0,5072274.0
27.0,MAHARASHTRA,15-19,10627267.0,5710400.0,4916867.0
27.0,MAHARASHTRA,20-24,11090966.0,5845114.0,5245852.0
27.0,MAHARASHTRA,25-29,10147113.0,5272560.0,4874553.0
27.0,MAHARASHTRA,Age not stated,407696.0,219312.0,188384.0
27.0,MAHARASHTRA,30-49,30272010.0,15606774.0,14665236.0
27.0,MAHARASHTRA,50-69,15525963.0,7711997.0,7813966.0
27.0,MAHARASHTRA,70+,4386103.0,2096832.0,2289271.0
28.0,ANDHRA PRADESH,Total,84580777.0,42442146.0,42138631.0
28.0,ANDHRA PRADESH,5-9,7304432.0,3760398.0,3544034.0
28.0,ANDHRA PRADESH,10-14,8201595.0,4208884.0,3992711.0
28.0,ANDHRA PRADESH,15-19,8093747.0,4196307.0,3897440.0
28.0,ANDHRA PRADESH,20-24,8132094.0,4055697.0,4076397.0
28.0,ANDHRA PRADESH,25-29,7799036.0,3809887.0,3989149.0
28.0,ANDHRA PRADESH,Age not stated,771431.0,387686.0,383745.0
28.0,ANDHRA PRADESH,30-49,23148452.0,11667950.0,11480502.0
28.0,ANDHRA PRADESH,50-69,11934675.0,5733246.0,6201429.0
28.0,ANDHRA PRADESH,70+,2910550.0,1386204.0,1524346.0
29.0,KARNATAKA,Total,61095297.0,30966657.0,30128640.0
29.0,KARNATAKA,5-9,5241509.0,2696670.0,2544839.0
29.0,KARNATAKA,10-14,5736646.0,2955287.0,2781359.0
29.0,KARNATAKA,15-19,5827277.0,3042048.0,2785229.0
29.0,KARNATAKA,20-24,6052558.0,3109586.0,2942972.0
29.0,KARNATAKA,25-29,5771606.0,2879254.0,2892352.0
29.0,KARNATAKA,Age not stated,45851.0,25410.0,20441.0
29.0,KARNATAKA,30-49,16740325.0,8491283.0,8249042.0
29.0,KARNATAKA,50-69,8421945.0,4156340.0,4265605.0
29.0,KARNATAKA,70+,2210861.0,1028755.0,1182106.0
30.0,GOA,Total,1458545.0,739140.0,719405.0
30.0,GOA,5-9,105968.0,54672.0,51296.0
30.0,GOA,10-14,110989.0,57417.0,53572.0
30.0,GOA,15-19,113875.0,60075.0,53800.0
30.0,GOA,20-24,130745.0,70616.0,60129.0
30.0,GOA,25-29,132626.0,67744.0,64882.0
30.0,GOA,Age not stated,2094.0,1098.0,996.0
30.0,GOA,30-49,455405.0,230383.0,225022.0
30.0,GOA,50-69,244268.0,118908.0,125360.0
30.0,GOA,70+,61372.0,26210.0,35162.0
31.0,LAKSHADWEEP,Total,64473.0,33123.0,31350.0
31.0,LAKSHADWEEP,5-9,5407.0,2760.0,2647.0
31.0,LAKSHADWEEP,10-14,5998.0,2854.0,3144.0
31.0,LAKSHADWEEP,15-19,5624.0,2808.0,2816.0
31.0,LAKSHADWEEP,20-24,5829.0,3071.0,2758.0
31.0,LAKSHADWEEP,25-29,5967.0,3135.0,2832.0
31.0,LAKSHADWEEP,Age not stated,115.0,74.0,41.0
31.0,LAKSHADWEEP,30-49,19244.0,9961.0,9283.0
31.0,LAKSHADWEEP,50-69,9414.0,4937.0,4477.0
31.0,LAKSHADWEEP,70+,1823.0,875.0,948.0
32.0,KERALA,Total,33406061.0,16027412.0,17378649.0
32.0,KERALA,5-9,2555112.0,1303190.0,1251922.0
32.0,KERALA,10-14,2822770.0,1438917.0,1383853.0
32.0,KERALA,15-19,2610552.0,1328299.0,1282253.0
32.0,KERALA,20-24,2665809.0,1298826.0,1366983.0
32.0,KERALA,25-29,2604092.0,1203978.0,1400114.0
32.0,KERALA,Age not stated,34486.0,17297.0,17189.0
32.0,KERALA,30-49,9796202.0,4513058.0,5283144.0
32.0,KERALA,50-69,6087358.0,2937086.0,3150272.0
32.0,KERALA,70+,1776588.0,739227.0,1037361.0
33.0,TAMIL NADU,Total,72147030.0,36137975.0,36009055.0
33.0,TAMIL NADU,5-9,5551255.0,2851293.0,2699962.0
33.0,TAMIL NADU,10-14,6177547.0,3188990.0,2988557.0
33.0,TAMIL NADU,15-19,6253792.0,3229838.0,3023954.0
33.0,TAMIL NADU,20-24,6411543.0,3154804.0,3256739.0
33.0,TAMIL NADU,25-29,6663746.0,3237374.0,3426372.0
33.0,TAMIL NADU,Age not stated,66805.0,34670.0,32135.0
33.0,TAMIL NADU,30-49,21429281.0,10648715.0,10780566.0
33.0,TAMIL NADU,50-69,11455580.0,5690938.0,5764642.0
33.0,TAMIL NADU,70+,2858780.0,1386775.0,1472005.0
34.0,PUDUCHERRY,Total,1247953.0,612511.0,635442.0
34.0,PUDUCHERRY,5-9,98717.0,50327.0,48390.0
34.0,PUDUCHERRY,10-14,105726.0,53936.0,51790.0
34.0,PUDUCHERRY,15-19,102316.0,52231.0,50085.0
34.0,PUDUCHERRY,20-24,108819.0,51287.0,57532.0
34.0,PUDUCHERRY,25-29,118244.0,55052.0,63192.0
34.0,PUDUCHERRY,Age not stated,1101.0,560.0,541.0
34.0,PUDUCHERRY,30-49,387613.0,192523.0,195090.0
34.0,PUDUCHERRY,50-69,182843.0,88125.0,94718.0
34.0,PUDUCHERRY,70+,48625.0,20767.0,27858.0
35.0,ANDAMAN & NICOBAR ISLANDS,Total,380581.0,202871.0,177710.0
35.0,ANDAMAN & NICOBAR ISLANDS,5-9,30454.0,15512.0,14942.0
35.0,ANDAMAN & NICOBAR ISLANDS,10-14,33467.0,17118.0,16349.0
35.0,ANDAMAN & NICOBAR ISLANDS,15-19,33026.0,17266.0,15760.0
35.0,ANDAMAN & NICOBAR ISLANDS,20-24,37115.0,19528.0,17587.0
35.0,ANDAMAN & NICOBAR ISLANDS,25-29,41722.0,22230.0,19492.0
35.0,ANDAMAN & NICOBAR ISLANDS,Age not stated,368.0,195.0,173.0
35.0,ANDAMAN & NICOBAR ISLANDS,30-49,119161.0,64612.0,54549.0
35.0,ANDAMAN & NICOBAR ISLANDS,50-69,47692.0,26817.0,20875.0
35.0,ANDAMAN & NICOBAR ISLANDS,70+,8822.0,4952.0,3870.0
