State Code,State Name,Age Group,TOT_P,TOT_M,TOT_F
06,HARYANA (06),20-24,2567486,1372799,1194687
06,HARYANA (06),25-29,2231959,1178340,1053619
06,HARYANA (06),30-34,1893591,976844,916747
06,HARYANA (06),35-39,1761863,912717,849146
06,HARYANA (06),40-44,1505950,790581,715369
06,HARYANA (06),45-49,1241814,655749,586065
06,HARYANA (06),50-54,965228,510688,454540
06,HARYANA (06),55-59,750938,374209,376729
06,HARYANA (06),60-64,844349,413958,430391
06,HARYANA (06),65-69,504439,255270,249169
06,HARYANA (06),70-74,374161,188304,185857
06,HARYANA (06),75-79,196217,97692,98525
06,HARYANA (06),80+,274589,133397,141192
06,HARYANA (06),Age not stated,31534,16888,14646
07,NCT OF DELHI (07),All ages,16787941,8987326,7800615
07,NCT OF DELHI (07),0-4,1381200,734336,646864
07,NCT OF DELHI (07),5-9,1535972,829487,706485
07,NCT OF DELHI (07),10-14,1648147,895446,752701
07,NCT OF DELHI (07),15-19,1667375,925118,742257
07,NCT OF DELHI (07),20-24,1764060,951411,812649
07,NCT OF DELHI (07),25-29,1668326,878196,790130
07,NCT OF DELHI (07),30-34,1434699,757455,677244
07,NCT OF DELHI (07),35-39,1319244,698455,620789
07,NCT OF DELHI (07),40-44,1097197,590858,506339
07,NCT OF DELHI (07),45-49,911213,495227,415986
07,NCT OF DELHI (07),50-54,687469,376222,311247
07,NCT OF DELHI (07),55-59,508892,269185,239707
07,NCT OF DELHI (07),60-64,472019,238103,233916
07,NCT OF DELHI (07),65-69,272452,139398,133054
07,NCT OF DELHI (07),70-74,189250,94947,94303
07,NCT OF DELHI (07),75-79,100693,50446,50247
07,NCT OF DELHI (07),80+,113031,53861,59170
07,NCT OF DELHI (07),Age not stated,16702,9175,7527
08,RAJASTHAN (08),All ages,68548437,35550997,32997440
08,RAJASTHAN (08),0-4,7302170,3858574,3443596
08,RAJASTHAN (08),5-9,8042738,4258873,3783865
08,RAJASTHAN (08),10-14,8380518,4430696,3949822
08,RAJASTHAN (08),15-19,7314017,3889874,3424143
08,RAJASTHAN (08),20-24,6426494,3377483,3049011
08,RAJASTHAN (08),25-29,5348497,2763059,2585438
08,RAJASTHAN (08),30-34,4722683,2384569,2338114
08,RAJASTHAN (08),35-39,4334564,2201790,2132774
08,RAJASTHAN (08),40-44,3735355,1926916,1808439
08,RAJASTHAN (08),45-49,3145404,1608512,1536892
08,RAJASTHAN (08),50-54,2516808,1345007,1171801
08,RAJASTHAN (08),55-59,1897449,935866,961583
08,RAJASTHAN (08),60-64,1770139,884024,886115
08,RAJASTHAN (08),65-69,1260376,589471,670905
08,RAJASTHAN (08),70-74,1016915,490011,526904
08,RAJASTHAN (08),75-79,477655,216016,261639
08,RAJASTHAN (08),80+,587053,252741,334312
08,RAJASTHAN (08),Age not stated,269602,137515,132087
09,UTTAR PRADESH (09),All ages,199812341,104480510,95331831
09,UTTAR PRADESH (09),0-4,20376668,10660474,9716194
09,UTTAR PRADESH (09),5-9,25061717,13250331,11811386
09,UTTAR PRADESH (09),10-14,25869881,13679154,12190727
09,UTTAR PRADESH (09),15-19,23040380,12307573,10732807
09,UTTAR PRADESH (09),20-24,17578648,9405485,8173163
09,UTTAR PRADESH (09),25-29,14579829,7466367,7113462
09,UTTAR PRADESH (09),30-34,12954682,6431401,6523281
09,UTTAR PRADESH (09),35-39,12556222,6401231,6154991
09,UTTAR PRADESH (09),40-44,10231402,5395162,4836240
09,UTTAR PRADESH (09),45-49,8449777,4382148,4067629
09,UTTAR PRADESH (09),50-54,6587023,3571917,3015106
09,UTTAR PRADESH (09),55-59,5464146,2626201,2837945
09,UTTAR PRADESH (09),60-64,5705191,2968771,2736420
09,UTTAR PRADESH (09),65-69,3839969,1958472,1881497
09,UTTAR PRADESH (09),70-74,2832368,1535092,1297276
09,UTTAR PRADESH (09),75-79,1249892,638877,611015
09,UTTAR PRADESH (09),80+,1812484,935921,876563
09,UTTAR PRADESH (09),Age not stated,1622062,865933,756129
10,BIHAR (10),All ages,104099452,54278157,49821295
10,BIHAR (10),0-4,12765029,6576871,6188158
10,BIHAR (10),5-9,15036277,7796359,7239918
10,BIHAR (10),10-14,13919882,7323831,6596051
10,BIHAR (10),15-19,9472695,5290581,4182114
10,BIHAR (10),20-24,8064735,4210585,3854150
10,BIHAR (10),25-29,7671705,3828687,3843018
10,BIHAR (10),30-34,7055737,3510596,3545141
10,BIHAR (10),35-39,6457261,3308161,3149100
10,BIHAR (10),40-44,5165692,2756809,2408883
10,BIHAR (10),45-49,4270374,2209994,2060380
10,BIHAR (10),50-54,3312740,1808425,1504315
10,BIHAR (10),55-59,2796678,1330356,1466322
10,BIHAR (10),60-64,3008008,1559925,1448083
10,BIHAR (10),65-69,2089779,1103718,986061
10,BIHAR (10),70-74,1379531,784383,595148
10,BIHAR (10),75-79,550479,297973,252506
10,BIHAR (10),80+,679348,360594,318754
10,BIHAR (10),Age not stated,403502,220309,183193
11,SIKKIM (11),All ages,610577,323070,287507
11,SIKKIM (11),0-4,42336,21685,20651
11,SIKKIM (11),5-9,56678,28688,27990
11,SIKKIM (11),10-14,66923,33965,32958
11,SIKKIM (11),15-19,66937,33998,32939
11,SIKKIM (11),20-24,67297,35146,32151
11,SIKKIM (11),25-29,64639,34700,29939
11,SIKKIM (11),30-34,52225,28562,23663
11,SIKKIM (11),35-39,43627,23396,20231
11,SIKKIM (11),40-44,36552,20170,16382
11,SIKKIM (11),45-49,29462,16114,13348
11,SIKKIM (11),50-54,24432,13624,10808
11,SIKKIM (11),55-59,17541,9913,7628
11,SIKKIM (11),60-64,13550,7441,6109
11,SIKKIM (11),65-69,10483,5593,4890
11,SIKKIM (11),70-74,7561,4304,3257
11,SIKKIM (11),75-79,4516,2556,1960
11,SIKKIM (11),80+,4642,2578,2064
11,SIKKIM (11),Age not stated,1176,637,539
12,ARUNACHAL PRADESH (12),All ages,1383727,713912,669815
12,ARUNACHAL PRADESH (12),0-4,142879,72464,70415
12,ARUNACHAL PRADESH (12),5-9,171123,86699,84424
12,ARUNACHAL PRADESH (12),10-14,179359,90439,88920
12,ARUNACHAL PRADESH (12),15-19,155968,78673,77295
12,ARUNACHAL PRADESH (12),20-24,131696,66033,65663
12,ARUNACHAL PRADESH (12),25-29,123714,63366,60348
12,ARUNACHAL PRADESH (12),30-34,101171,52462,48709
12,ARUNACHAL PRADESH (12),35-39,94391,48211,46180
12,ARUNACHAL PRADESH (12),40-44,78603,42861,35742
12,ARUNACHAL PRADESH (12),45-49,63679,35173,28506
12,ARUNACHAL PRADESH (12),50-54,46110,26487,19623
12,ARUNACHAL PRADESH (12),55-59,29886,16996,12890
12,ARUNACHAL PRADESH (12),60-64,25445,13492,11953
12,ARUNACHAL PRADESH (12),65-69,14973,7642,7331
12,ARUNACHAL PRADESH (12),70-74,10647,5547,5100
12,ARUNACHAL PRADESH (12),75-79,5135,2687,2448
12,ARUNACHAL PRADESH (12),80+,7439,3821,3618
12,ARUNACHAL PRADESH (12),Age not stated,1509,859,650
13,NAGALAND (13),All ages,1978502,1024649,953853
13,NAGALAND (13),0-4,197262,101291,95971
13,NAGALAND (13),5-9,233099,120647,112452
13,NAGALAND (13),10-14,248671,129237,119434
13,NAGALAND (13),15-19,229622,117994,111628
13,NAGALAND (13),20-24,204363,103769,100594
13,NAGALAND (13),25-29,176901,89598,87303
13,NAGALAND (13),30-34,149924,76505,73419
13,NAGALAND (13),35-39,128198,64695,63503
13,NAGALAND (13),40-44,109261,57653,51608
13,NAGALAND (13),45-49,87747,47757,39990
13,NAGALAND (13),50-54,65859,36134,29725
13,NAGALAND (13),55-59,43398,23741,19657
13,NAGALAND (13),60-64,36519,19683,16836
13,NAGALAND (13),65-69,24243,12801,11442
13,NAGALAND (13),70-74,17593,9260,8333
13,NAGALAND (13),75-79,10565,5635,4930
13,NAGALAND (13),80+,13806,7400,6406
13,NAGALAND (13),Age not stated,1471,849,622
14,MANIPUR (14),All ages,2855794,1438586,1417208
14,MANIPUR (14),0-4,256682,133160,123522
14,MANIPUR (14),5-9,291243,149766,141477
14,MANIPUR (14),10-14,313763,161146,152617
14,MANIPUR (14),15-19,287008,144495,142513
14,MANIPUR (14),20-24,281782,139587,142195
14,MANIPUR (14),25-29,270477,132888,137589
14,MANIPUR (14),30-34,220954,109678,111276
14,MANIPUR (14),35-39,198453,98019,100434
14,MANIPUR (14),40-44,170829,85896,84933
14,MANIPUR (14),45-49,147030,73917,73113
14,MANIPUR (14),50-54,120277,60598,59679
14,MANIPUR (14),55-59,89499,45409,44090
14,MANIPUR (14),60-64,71897,36567,35330
14,MANIPUR (14),65-69,46648,23218,23430
14,MANIPUR (14),70-74,34253,16776,17477
14,MANIPUR (14),75-79,21428,10663,10765
14,MANIPUR (14),80+,25794,12571,13223
14,MANIPUR (14),Age not stated,7777,4232,3545
15,MIZORAM (15),All ages,1097206,555339,541867
15,MIZORAM (15),0-4,121233,61541,59692
15,MIZORAM (15),5-9,117788,59888,57900
15,MIZORAM (15),10-14,116981,59526,57455
15,MIZORAM (15),15-19,110343,55907,54436
15,MIZORAM (15),20-24,111708,55512,56196
15,MIZORAM (15),25-29,102346,51390,50956
15,MIZORAM (15),30-34,88374,44341,44033
15,MIZORAM (15),35-39,72384,36817,35567
15,MIZORAM (15),40-44,58180,29970,28210
15,MIZORAM (15),45-49,53175,27028,26147
15,MIZORAM (15),50-54,44256,22556,21700
15,MIZORAM (15),55-59,31177,16139,15038
15,MIZORAM (15),60-64,24480,12357,12123
