Date,Weekday,Day,weekid,monthid
7/22/2021,Thu,22,28,7
7/23/2021,Fri,23,28,7
7/24/2021,Sat,24,28,7
7/25/2021,Sun,25,29,7
7/26/2021,Mon,26,29,7
7/27/2021,Tue,27,29,7
7/28/2021,Wed,28,29,7
7/29/2021,Thu,29,29,7
7/30/2021,Fri,30,29,7
7/31/2021,Sat,31,29,7
8/1/2021,Sun,1,30,7
8/2/2021,Mon,2,30,7
8/3/2021,Tue,3,30,7
8/4/2021,Wed,4,30,7
8/5/2021,Thu,5,30,7
8/6/2021,Fri,6,30,7
8/7/2021,Sat,7,30,7
8/8/2021,Sun,8,31,7
8/9/2021,Mon,9,31,7
8/10/2021,Tue,10,31,7
8/11/2021,Wed,11,31,7
8/12/2021,Thu,12,31,7
8/13/2021,Fri,13,31,7
8/14/2021,Sat,14,31,7
