Sr No,Name,District_Key,State_Code,TOT_P,TOT_M,TOT_F
211,Bengaluru Urban,KA_Bengaluru Urban,KA,9621551,5022661,4598890
212,Bidar,KA_Bidar,KA,1703300,870665,832635
214,Chamarajanagara,KA_Chamarajanagara,KA,1020791,512231,508560
215,Chikkaballapura,KA_Chikkaballapura,KA,1255104,636437,618667
216,Chikkamagaluru,KA_Chikkamagaluru,KA,1137961,566622,571339
217,Chitradurga,KA_Chitradurga,KA,1659456,840843,818613
218,Dakshina Kannada,KA_Dakshina Kannada,KA,2089649,1034714,1054935
219,Davanagere,KA_Davanagere,KA,1945497,986400,959097
220,Dharwad,KA_Dharwad,KA,1847023,937206,909817
221,Gadag,KA_Gadag,KA,1064570,537147,527423
222,Hassan,KA_Hassan,KA,1776421,883667,892754
223,Haveri,KA_Haveri,KA,1597668,819128,778540
224,Kalaburagi,KA_Kalaburagi,KA,2566326,1301755,1264571
225,Kodagu,KA_Kodagu,KA,554519,274608,279911
226,Kolar,KA_Kolar,KA,1536401,776396,760005
227,Koppal,KA_Koppal,KA,1389920,699926,689994
228,Mandya,KA_Mandya,KA,1805769,905085,900684
229,Mysuru,KA_Mysuru,KA,3001127,1511600,1489527
230,Raichur,KA_Raichur,KA,1928812,964511,964301
231,Ramanagara,KA_Ramanagara,KA,1082636,548008,534628
232,Shivamogga,KA_Shivamogga,KA,1752753,877415,875338
233,Tumakuru,KA_Tumakuru,KA,2678980,1350594,1328386
234,Udupi,KA_Udupi,KA,1177361,562131,615230
235,Uttara Kannada,KA_Uttara Kannada,KA,1437169,726256,710913
236,Yadgir,KA_Yadgir,KA,1174271,590329,583942
238,Alappuzha,KL_Alappuzha,KL,2127789,1013142,1114647
239,Ernakulam,KL_Ernakulam,KL,3282388,1619557,1662831
240,Idukki,KL_Idukki,KL,1108974,552808,556166
241,Kannur,KL_Kannur,KL,2523003,1181446,1341557
242,Kasaragod,KL_Kasaragod,KL,1307375,628613,678762
243,Kollam,KL_Kollam,KL,2635375,1246968,1388407
244,Kottayam,KL_Kottayam,KL,1974551,968289,1006262
245,Kozhikode,KL_Kozhikode,KL,3086293,1470942,1615351
246,Malappuram,KL_Malappuram,KL,4112920,1960328,2152592
247,Palakkad,KL_Palakkad,KL,2809934,1359478,1450456
248,Pathanamthitta,KL_Pathanamthitta,KL,1197412,561716,635696
249,Thiruvananthapuram,KL_Thiruvananthapuram,KL,3301427,1581678,1719749
250,Thrissur,KL_Thrissur,KL,3121200,1480763,1640437
251,Wayanad,KL_Wayanad,KL,817420,401684,415736
252,Kargil,LA_Kargil,LA,140802,77785,63017
253,Leh(Ladakh),LA_Leh,LA,133487,78971,54516
254,Lakshadweep,LD_Lakshadweep,LD,64473,33123,31350
255,Manipur,Manipur,MN,2855794,1438586,1417208
257,Ahmednagar,MH_Ahmednagar,MH,4543159,2342825,2200334
258,Akola,MH_Akola,MH,1813906,932334,881572
259,Amravati,MH_Amravati,MH,2888445,1480768,1407677
260,Aurangabad,MH_Aurangabad,MH,2540073,1318684,1221389
261,Beed,MH_Beed,MH,2585049,1349106,1235943
262,Bhandara,MH_Bhandara,MH,1200334,605520,594814
263,Buldhana,MH_Buldhana,MH,2586258,1337560,1248698
264,Chandrapur,MH_Chandrapur,MH,2204307,1123834,1080473
265,Dhule,MH_Dhule,MH,2050862,1054031,996831
266,Gadchiroli,MH_Gadchiroli,MH,1072942,541328,531614
267,Gondia,MH_Gondia,MH,1322507,661554,660953
268,Hingoli,MH_Hingoli,MH,1177345,606294,571051
269,Jalgaon,MH_Jalgaon,MH,4229917,2197365,2032552
270,Jalna,MH_Jalna,MH,1959046,1011473,947573
271,Kolhapur,MH_Kolhapur,MH,3876001,1980658,1895343
272,Latur,MH_Latur,MH,2454196,1273140,1181056
273,Mumbai,MH_Mumbai,MH,12442373,6715931,5726442
274,Nagpur,MH_Nagpur,MH,4653570,2384975,2268595
