Sr No,Name,District_Key,State_Code,TOT_P,TOT_M,TOT_F
545,Lakhimpur Kheri,UP_Lakhimpur Kheri,UP,4021243,2123187,1898056
546,Lalitpur,UP_Lalitpur,UP,1221592,641011,580581
547,Lucknow,UP_Lucknow,UP,4589838,2394476,2195362
548,Maharajganj,UP_Maharajganj,UP,2684703,1381754,1302949
549,Mahoba,UP_Mahoba,UP,875958,466358,409600
550,Mainpuri,UP_Mainpuri,UP,1868529,993377,875152
551,Mathura,UP_Mathura,UP,2547184,1367125,1180059
552,Mau,UP_Mau,UP,2205968,1114709,1091259
553,Meerut,UP_Meerut,UP,3443689,1825743,1617946
554,Mirzapur,UP_Mirzapur,UP,2496970,1312302,1184668
555,Moradabad,UP_Moradabad,UP,4772006,2503186,2268820
556,Muzaffarnagar,UP_Muzaffarnagar,UP,4143512,2193434,1950078
557,Pilibhit,UP_Pilibhit,UP,2031007,1072002,959005
558,Pratapgarh,UP_Pratapgarh,UP,867848,437744,430104
559,Prayagraj,UP_Prayagraj,UP,5954391,3131807,2822584
560,Rae Bareli,UP_Rae Bareli,UP,3405559,1752542,1653017
561,Rampur,UP_Rampur,UP,2335819,1223889,1111930
562,Saharanpur,UP_Saharanpur,UP,3466382,1834106,1632276
563,Sant Kabir Nagar,UP_Sant Kabir Nagar,UP,1715183,869656,845527
564,Shahjahanpur,UP_Shahjahanpur,UP,3006538,1606403,1400135
565,Shrawasti,UP_Shrawasti,UP,1117361,593897,523464
566,Siddharthnagar,UP_Siddharthnagar,UP,2559297,1295095,1264202
567,Sitapur,UP_Sitapur,UP,4483992,2375264,2108728
568,Sonbhadra,UP_Sonbhadra,UP,1862559,971344,891215
569,Sultanpur,UP_Sultanpur,UP,3797117,1914586,1882531
570,Unnao,UP_Unnao,UP,3108367,1630087,1478280
571,Varanasi,UP_Varanasi,UP,3676841,1921857,1754984
573,Almora,UT_Almora,UT,622506,291081,331425
574,Bageshwar,UT_Bageshwar,UT,259898,124326,135572
575,Chamoli,UT_Chamoli,UT,391605,193991,197614
576,Champawat,UT_Champawat,UT,259648,131125,128523
577,Dehradun,UT_Dehradun,UT,1696694,892199,804495
578,Haridwar,UT_Haridwar,UT,1890422,1005295,885127
579,Nainital,UT_Nainital,UT,954605,493666,460939
580,Pauri Garhwal,UT_Pauri Garhwal,UT,687271,326829,360442
581,Pithoragarh,UT_Pithoragarh,UT,483439,239306,244133
582,Rudraprayag,UT_Rudraprayag,UT,242285,114589,127696
583,Tehri Garhwal,UT_Tehri Garhwal,UT,618931,297986,320945
584,Udham Singh Nagar,UT_Udham Singh Nagar,UT,1648902,858783,790119
585,Uttarkashi,UT_Uttarkashi,UT,330086,168597,161489
587,Bankura,WB_Bankura,WB,3596674,1838095,1758579
588,Birbhum,WB_Birbhum,WB,3502404,1790920,1711484
589,Cooch Behar,WB_Cooch Behar,WB,2819086,1451542,1367544
590,Dakshin Dinajpur,WB_Dakshin Dinajpur,WB,1676276,857199,819077
591,Darjeeling,WB_Darjeeling,WB,1846823,937259,909564
592,Hooghly,WB_Hooghly,WB,5519145,2814653,2704492
593,Howrah,WB_Howrah,WB,4850029,2500819,2349210
594,Jalpaiguri,WB_Jalpaiguri,WB,3872846,1983064,1889782
595,Kolkata,WB_Kolkata,WB,4496694,2356766,2139928
596,Malda,WB_Malda,WB,3988845,2051541,1937304
597,Murshidabad,WB_Murshidabad,WB,7103807,3627564,3476243
598,Nadia,WB_Nadia,WB,5167600,2653768,2513832
599,North 24 Parganas,WB_North 24 Parganas,WB,10009781,5119389,4890392
600,Paschim Medinipur,WB_Paschim Medinipur,WB,5913457,3007885,2905572
601,Purba Bardhaman,WB_Purba Bardhaman,WB,7717563,3966889,3750674
602,Purba Medinipur,WB_Purba Medinipur,WB,5095875,2629834,2466041
603,Purulia,WB_Purulia,WB,2930115,1496996,1433119
604,South 24 Parganas,WB_South 24 Parganas,WB,8161961,4173778,3988183
605,Uttar Dinajpur,WB_Uttar Dinajpur,WB,3007134,1551066,1456068
