districtid,dose1,dose2
MP_Betul,670757,133958
MP_Bhind,606901,94160
MP_Bhopal,1620067,466853
MP_Burhanpur,330024,81501
MP_Chhatarpur,640532,97115
MP_Chhindwara,824545,155456
MP_Damoh,525158,71381
MP_Datia,352887,57876
MP_Dewas,683598,118989
MP_Dhar,786910,133943
MP_Dindori,309651,44345
MP_Guna,487962,74408
MP_Gwalior,1027979,254217
MP_Harda,341020,55713
MP_Hoshangabad,532872,113249
MP_Indore,2609559,711303
MP_Jabalpur,1305459,341515
MP_Jhabua,341339,51915
MP_Katni,490782,79896
MP_Khandwa,572395,93817
MP_Khargone,693853,111344
MP_Mandla,378888,55967
MP_Mandsaur,537714,90807
MP_Morena,695887,110701
MP_Narsinghpur,487548,87279
MP_Neemuch,389503,80126
MP_Panna,390823,39249
MP_Raisen,541206,81876
MP_Rajgarh,691400,101736
MP_Ratlam,635511,121935
MP_Rewa,861206,168522
MP_Sagar,1051434,230215
MP_Satna,737747,142801
MP_Sehore,694923,133684
MP_Seoni,546801,94796
MP_Shahdol,508248,77403
MP_Shajapur,416550,76695
MP_Sheopur,197813,28011
MP_Shivpuri,580393,80678
MP_Sidhi,393127,47455
MP_Singrauli,409171,58771
MP_Tikamgarh,545084,94794
MP_Ujjain,1111917,267530
MP_Umaria,249279,34650
MP_Vidisha,572855,101467
MZ_Aizawl,303189,101537
MZ_Champhai,69789,25178
MZ_Kolasib,44817,14179
MZ_Lawngtlai,39759,10189
MZ_Lunglei,87594,30936
MZ_Mamit,41987,12962
MZ_Saiha,33011,8023
MZ_Serchhip,40738,14893
Manipur,1174083,266350
NL_Dimapur,230097,48778
NL_Kiphire,12752,3671
NL_Kohima,97799,25333
NL_Longleng,19803,6045
NL_Mokokchung,65748,21895
NL_Mon,64706,18142
NL_Peren,17558,5701
NL_Phek,29333,9612
NL_Tuensang,34758,9496
NL_Wokha,32636,12034
NL_Zunheboto,36467,8161
OR_Angul,376061,82960
OR_Balangir,541918,93135
OR_Balasore,689525,264589
OR_Bargarh,428911,109539
OR_Bhadrak,543406,125678
OR_Boudh,133591,28351
OR_Cuttack,931754,284638
OR_Deogarh,117022,23090
OR_Dhenkanal,420507,93532
OR_Gajapati,197330,43736
OR_Ganjam,1519254,468809
OR_Jagatsinghpur,323774,119052
OR_Jajpur,542895,149648
OR_Jharsuguda,255280,56059
OR_Kalahandi,461577,123735
OR_Kandhamal,226471,56560
OR_Kendrapara,490470,133965
OR_Kendujhar,568204,122056
OR_Khordha,1492865,1010751
OR_Koraput,522945,123048
OR_Malkangiri,179017,36722
OR_Mayurbhanj,661705,161227
OR_Nabarangapur,341106,58839
OR_Nayagarh,321610,83092
OR_Nuapada,270914,43368
OR_Puri,669027,166003
OR_Rayagada,329657,69238
OR_Sambalpur,535719,111778
OR_Subarnapur,239986,50193
OR_Sundargarh,689573,183000
PB_Amritsar,765412,263346
PB_Barnala,160106,49382
PB_Bathinda,299397,86420
PB_Faridkot,168067,55432
PB_Fatehgarh Sahib,193011,40954
PB_Fazilka,197864,48436
PB_Ferozepur,181325,46428
PB_Gurdaspur,522149,187547
PB_Hoshiarpur,727070,235989
PB_Jalandhar,815184,285628
PB_Kapurthala,232696,79077
PB_Ludhiana,1209808,385499
PB_Mansa,135439,30975
PB_Moga,237380,54243
PB_Pathankot,274125,87770
PB_Patiala,570094,159710
PB_Rupnagar,223113,50352
PB_S.A.S. Nagar,644251,195695
PB_Sangrur,299598,80513
PB_Shahid Bhagat Singh Nagar,212785,68475
PB_Sri Muktsar Sahib,250136,54258
PB_Tarn Taran,256804,59903
PY_Karaikal,108142,25959
PY_Mahe,35436,14664
PY_Puducherry,551580,164252
RJ_Ajmer,1261630,417164
RJ_Alwar,1471252,530526
RJ_Banswara,724959,194414
RJ_Baran,489226,127621
RJ_Barmer,999241,289458
RJ_Bharatpur,969001,244845
RJ_Bhilwara,962086,282707
RJ_Bikaner,1002673,355014
RJ_Bundi,491151,160437
RJ_Chittorgarh,646448,186085
RJ_Churu,820828,246032
RJ_Dausa,681751,142232
RJ_Dholpur,488188,122868
RJ_Dungarpur,540130,138927
RJ_Ganganagar,742382,266998
RJ_Hanumangarh,718275,213975
RJ_Jaipur,2948477,1014322
RJ_Jaisalmer,282728,80388
RJ_Jalore,717996,175918
RJ_Jhalawar,614075,140399
RJ_Jhunjhunu,953248,347869
RJ_Jodhpur,1543757,560446
RJ_Karauli,590339,142698
RJ_Kota,893199,325307
RJ_Nagaur,1371050,558048
RJ_Pali,801167,258411
RJ_Pratapgarh,382915,79262
RJ_Rajsamand,479674,114933
RJ_Sawai Madhopur,542276,140678
RJ_Sikar,1179193,444674
RJ_Sirohi,429580,141766
RJ_Tonk,617734,169068
RJ_Udaipur,1196911,370381
Sikkim,500829,158626
TN_Ariyalur,185868,34467
TN_Chennai,3192699,1191329
TN_Coimbatore,1558849,367472
TN_Cuddalore,578512,114903
TN_Dharmapuri,419496,68649
TN_Dindigul,573368,113002
TN_Erode,718387,129173
TN_Kallakurichi,314914,45371
TN_Kancheepuram,306763,46858
TN_Kanyakumari,550900,116192
TN_Karur,309328,54085
TN_Krishnagiri,597379,108515
TN_Madurai,787131,188840
TN_Nagapattinam,399784,58996
TN_Namakkal,543618,118141
TN_Nilgiris,392193,103208
TN_Perambalur,173687,31271
TN_Pudukkottai,437504,64578
TN_Ramanathapuram,395791,63928
TN_Ranipet,252532,44537
TN_Salem,1024077,240779
TN_Sivaganga,363612,57004
TN_Thanjavur,589953,102787
TN_Theni,322473,52539
TN_Thiruvallur,724044,165557
TN_Thiruvarur,330191,45513
TN_Thoothukkudi,434681,80991
TN_Tiruchirappalli,793268,180677
TN_Tirunelveli,374187,72366
TN_Tiruppur,751794,131533
TN_Tiruvannamalai,608653,76539
TN_Vellore,404871,120993
TN_Viluppuram,436097,70415
TN_Virudhunagar,595290,132475
TR_Dhalai,250797,64097
TR_Gomati,269871,77530
TR_Khowai,189089,59623
TR_North Tripura,273982,88874
TR_Sipahijala,324925,105138
TR_South Tripura,297336,102122
TR_Unokoti,168790,48192
TR_West Tripura,659353,283463
Telangana,12073705,4152114
UP_Agra,1164917,229477
UP_Aligarh,779759,155547
UP_Ambedkar Nagar,502250,80417
UP_Amethi,475276,98128
UP_Amroha,392582,68078
UP_Auraiya,302138,51155
UP_Ayodhya,559697,109689
UP_Azamgarh,1030112,161205
UP_Baghpat,470019,88644
UP_Bahraich,938725,130303
UP_Ballia,533708,117643
UP_Balrampur,549668,110111
UP_Banda,414913,50832
UP_Barabanki,759645,99387
UP_Bareilly,1071100,224470
UP_Basti,666760,101156
UP_Bhadohi,382217,64798
UP_Bijnor,863366,152814
UP_Budaun,535397,96669
UP_Bulandshahr,1024247,166047
UP_Chandauli,415655,60592
UP_Chitrakoot,260474,24323
UP_Deoria,630059,134678
UP_Etah,347060,53511
UP_Etawah,363790,63859
UP_Farrukhabad,379313,65981
UP_Fatehpur,579672,99285
UP_Firozabad,540498,87124
UP_Gautam Buddha Nagar,1433979,361116
UP_Ghaziabad,1367699,317821
UP_Ghazipur,842382,115732
UP_Gonda,997665,130162
UP_Gorakhpur,1238665,255319
UP_Hamirpur,314753,49132
UP_Hapur,360418,71825
UP_Hardoi,837289,103318
UP_Hathras,386915,68402
UP_Jalaun,422964,66236
UP_Jaunpur,958732,183525
UP_Jhansi,561559,118811
UP_Kannauj,384400,41133
UP_Kanpur Dehat,393302,58768
UP_Kanpur Nagar,1130483,290599
UP_Kasganj,286777,43001
UP_Kaushambi,296645,53955
UP_Kushinagar,698115,138961
UP_Lakhimpur Kheri,737810,96068
UP_Lalitpur,289883,34355
UP_Lucknow,1714010,547681
UP_Maharajganj,532662,97008
UP_Mahoba,303319,48476
UP_Mainpuri,374243,57213
UP_Mathura,711496,144991
UP_Mau,434138,91187
UP_Meerut,1198340,315646
UP_Mirzapur,700515,106205
UP_Moradabad,677684,153579
UP_Muzaffarnagar,696827,124525
UP_Pilibhit,472953,88229
UP_Pratapgarh,571863,105818
UP_Prayagraj,1153745,278741
UP_Rae Bareli,498392,81308
UP_Rampur,400815,79192
UP_Saharanpur,940325,195245
UP_Sambhal,379266,63839
UP_Sant Kabir Nagar,312166,53826
UP_Shahjahanpur,612038,104846
UP_Shamli,319279,64825
UP_Shrawasti,323125,35360
UP_Siddharthnagar,724868,102747
UP_Sitapur,769673,120559
UP_Sonbhadra,343971,75632
UP_Sultanpur,501573,106540
UP_Unnao,605016,110731
UP_Varanasi,1105042,288111
UT_Almora,319332,116880
UT_Bageshwar,176496,58520
UT_Chamoli,238713,86596
UT_Champawat,168535,55650
UT_Dehradun,1067509,399123
UT_Haridwar,899271,219977
UT_Nainital,560717,181889
UT_Pauri Garhwal,329405,125273
UT_Pithoragarh,248546,79166
UT_Rudraprayag,162296,46690
UT_Tehri Garhwal,307507,101122
UT_Udham Singh Nagar,807126,181633
UT_Uttarkashi,211187,72397
WB_Alipurduar,412674,159599
WB_Bankura,816675,306329
WB_Birbhum,1012467,359472
WB_Cooch Behar,494699,210246
WB_Dakshin Dinajpur,396667,179652
WB_Darjeeling,763086,269161
WB_Hooghly,1435880,641359
WB_Howrah,1306545,459345
WB_Jalpaiguri,502126,153667
WB_Jhargram,252307,71153
WB_Kalimpong,148059,55789
WB_Kolkata,3801302,1360132
WB_Malda,709391,269120
WB_Murshidabad,1172124,494059
WB_Nadia,995106,426292
WB_North 24 Parganas,3197688,1033782
WB_Paschim Bardhaman,787009,258180
WB_Paschim Medinipur,948147,380218
WB_Purba Bardhaman,937024,457682
WB_Purba Medinipur,1541059,672014
WB_Purulia,580665,206567
WB_South 24 Parganas,2068640,793261
WB_Uttar Dinajpur,540996,173055
