districtid,vaccineratio
KA_Ramanagara,6.574640389625099
UP_Gonda,6.618431809736157
WB_Cooch Behar,6.618982772409917
AP_Vizianagaram,6.657909727574306
WB_Jhargram,6.663144928222865
TN_Thiruvarur,6.672718361345396
TN_Tirunelveli,6.689284422006651
RJ_Udaipur,6.6964859210952765
WB_Jalpaiguri,6.730382507219898
BR_Madhubani,6.732060445170513
UP_Rampur,6.750391552161206
WB_Nadia,6.77450937493163
TN_Tiruchirappalli,6.7939992154790785
TN_Thiruvallur,6.805427125097602
KA_Chikkaballapura,6.84977753903285
TN_Tiruppur,6.9103846809579785
RJ_Nagaur,6.910757840971047
KA_Gadag,6.936450686243218
MP_Rajgarh,6.938646622561628
MH_Raigad,6.945548647660238
JK_Srinagar,6.969732486701614
MP_Bhopal,6.973608865341759
JK_Jammu,6.975937868386381
AP_Srikakulam,6.976209775232371
HR_Yamunanagar,6.984909016474441
Assam,7.006831531602256
PB_Faridkot,7.021821836192664
GJ_Surendranagar,7.0243122951781665
JH_West Singhbhum,7.032682378560641
KA_Chikkamagaluru,7.042123485285632
GJ_Mehsana,7.044826311675564
KL_Kollam,7.062562804060185
MP_Chhatarpur,7.068515176374077
HR_Sirsa,7.077663458347162
RJ_Kota,7.0781105013388474
CT_Narayanpur,7.079896462467644
HR_Mahendragarh,7.088210832726895
UP_Mirzapur,7.112737759110959
TN_Tiruvannamalai,7.115804185864712
UP_Bareilly,7.131514969234432
CT_Raigarh,7.134888339536692
WB_Paschim Bardhaman,7.148580643150941
CT_Kabeerdham,7.164629781141338
TN_Theni,7.170860292355619
TN_Nilgiris,7.200033104361499
UP_Pilibhit,7.229180722184741
WB_Purba Medinipur,7.304035749930586
HR_Fatehabad,7.320367621642505
KL_Alappuzha,7.327939031053382
RJ_Ganganagar,7.339007689702736
KL_Kasaragod,7.355544321167092
TN_Sivaganga,7.358918811487628
UT_Almora,7.389706306618199
TN_Thoothukkudi,7.4443079845418225
HR_Kurukshetra,7.451171693519912
MP_Sehore,7.45842818206874
KA_Davanagere,7.502703716782908
KA_Yadgir,7.541908961543191
CT_Durg,7.558777575787353
TN_Thanjavur,7.56554274688304
AP_Y.S.R. Kadapa,7.567175731594772
MP_Betul,7.575092160497773
TN_Dharmapuri,7.587946247732436
UP_Gorakhpur,7.606505057953314
WB_Howrah,7.608879915336484
WB_North 24 Parganas,7.616602590147801
KA_Bengaluru Rural,7.623292716613977
UP_Banda,7.657812064318245
JH_Latehar,7.663152546678521
PB_Mansa,7.675181149976542
MH_Satara,7.684729122519602
RJ_Alwar,7.701004489996392
KL_Thiruvananthapuram,7.798966000471488
KL_Idukki,7.799951704515628
MP_Chhindwara,7.866765003981756
MH_Nashik,7.8860717115941235
KA_Mysuru,7.93425688292813
UP_Sitapur,7.939929470627832
UP_Mau,7.9583567810917275
KA_Chitradurga,7.961815020713044
UP_Farrukhabad,7.969925266402111
TN_Nagapattinam,7.972833952669665
UP_Ghaziabad,7.982240553940844
KA_Haveri,7.989715519235217
TN_Kanyakumari,7.99162018699647
UP_Agra,8.070638181676332
UP_Ayodhya,8.085283940565846
HR_Nuh,8.103224834237492
CT_Janjgir Champa,8.15576829210688
WB_Hooghly,8.159521835755609
UP_Shrawasti,8.181820506918335
PB_Jalandhar,8.21023920482593
CT_Dakshin Bastar Dantewada,8.21628738010156
TN_Kancheepuram,8.220983129272922
RJ_Bundi,8.224369046102453
KL_Wayanad,8.250676428457743
UP_Unnao,8.30992455775234
PY_Karaikal,8.365530427902684
WB_South 24 Parganas,8.380957531893692
CT_Bametara,8.419987349778621
UP_Sultanpur,8.437812335102585
KA_Mandya,8.48777423214998
MP_Sheopur,8.558132644855462
TN_Perambalur,8.589267334144287
TN_Dindigul,8.61097267331168
HR_Faridabad,8.648882842113688
UP_Kasganj,8.660194459087448
UP_Gautam Buddha Nagar,8.6640384325384
UT_Dehradun,8.6824711505453
GJ_Banaskantha,8.696748639780047
MH_Thane,8.834848216446566
JH_Simdega,8.850540931936282
UP_Bhadohi,8.857142857142858
UP_Bulandshahr,8.868245063022599
TN_Ramanathapuram,8.879865036212417
PB_Patiala,8.951650959479549
UP_Chitrakoot,8.955318777292577
TN_Ariyalur,8.967052860246199
CT_Uttar Bastar Kanker,9.070699061151991
GJ_Morbi,9.075079362097789
KA_Bidar,9.096285356962294
RJ_Sawai Madhopur,9.103510510821486
MP_Ratlam,9.142669137592996
TN_Pudukkottai,9.156734231500586
PB_Kapurthala,9.182858263598327
WB_Paschim Medinipur,9.289020564656674
UP_Lakhimpur Kheri,9.316574455707796
CT_Jashpur,9.326824644549763
WB_Purba Bardhaman,9.334071812806569
MH_Chandrapur,9.33947328570052
GJ_Anand,9.349646565146077
MP_Khandwa,9.352383616135247
KL_Ernakulam,9.363174110249657
KA_Kalaburagi,9.44846406437369
HR_Jind,9.460582359827633
HR_Rewari,9.470062672131503
RJ_Barmer,9.513738571580038
CT_Bastar,9.513999938258266
UP_Lalitpur,9.556684248225565
KL_Malappuram,9.605634567954889
CT_Baloda Bazar,9.606410477339308
CT_Dhamtari,9.659169871369844
UP_Etawah,9.687310913864232
TN_Kallakurichi,9.709970149253731
UP_Etah,9.883910608449785
PB_Gurdaspur,9.896637494242285
UT_Pithoragarh,9.925396560360662
KA_Dharwad,9.973852274202878
TN_Virudhunagar,9.984809047597302
KL_Pathanamthitta,10.022587179352856
MP_Dindori,10.073636136136136
KL_Thrissur,10.097109057888312
MH_Pune,10.130345678530036
MP_Anuppur,10.134274141699883
GJ_Mahisagar,10.140533190074875
MP_Balaghat,10.147460869322387
CT_Bijapur,10.163070539419087
UP_Kanpur Nagar,10.17974946493768
TN_Viluppuram,10.235106241405314
KL_Kannur,10.236419136994646
MH_Sangli,10.269536315842608
RJ_Dausa,10.286129107370325
CT_Balod,10.364887640449439
JH_Garhwa,10.373393316195372
GJ_Bharuch,10.375036507404243
MP_Seoni,10.410602503912363
KL_Palakkad,10.426897266703092
RJ_Dholpur,10.445418117814478
MP_Dewas,10.456023176492415
CT_Surajpur,10.480298409034704
GJ_Gandhinagar,10.499299896929271
KA_Shivamogga,10.512049630159867
MP_Morena,10.519487011039546
UP_Hamirpur,10.564755973563802
GJ_Kutch,10.568183560803558
KL_Kozhikode,10.609499780483603
UP_Prayagraj,10.648208707536119
UP_Mainpuri,10.806544280594238
RJ_Banswara,10.809229623160112
MH_Palghar,10.814327738363039
UP_Bahraich,10.822956079212302
UP_Hapur,10.926193562622391
MP_Shivpuri,10.933503005360913
MP_Harda,10.943533094542937
UP_Ambedkar Nagar,10.96962794229309
UP_Budaun,10.974660787616147
GJ_Dahod,10.976143162979634
UP_Siddharthnagar,11.013775184346514
UP_Auraiya,11.097675374028553
KL_Kottayam,11.221504509248897
CT_Bilaspur,11.244778307072188
MP_Mandla,11.25901694819661
MP_Damoh,11.274691358024691
BR_Siwan,11.300125249653025
CT_Koriya,11.319749048206338
MP_Shajapur,11.355257225867856
GJ_Bhavnagar,11.373108962750397
UT_Haridwar,11.549311566578464
BR_Bhagalpur,11.550326951399116
