districtid,vaccinationratio,populationratio,ratioofratios
NL_Kiphire,0.5121228946881362,0.9562252180808882,0.535567233539343
DN_Dadra and Nagar Haveli,0.44121234454168584,0.7738903798513626,0.5701225341842696
HR_Nuh,0.5392887954966729,0.9070999121089989,0.5945197307348773
JK_Srinagar,0.5366393997140315,0.8995291219491218,0.596578128066858
TN_Kancheepuram,0.6527931590383402,0.986257040633734,0.6618894792567244
BR_Gopalganj,0.6859711330338594,1.0210465532719186,0.6718313977317505
NL_Phek,0.6472927241962775,0.9514228054882199,0.680341821178147
NL_Tuensang,0.6325680804805247,0.9286786418529819,0.6811485178752134
MP_Singrauli,0.6349058812429895,0.9201466013294505,0.6900051364920132
CT_Bijapur,0.6802593122318263,0.9837093803191282,0.6915246777571047
UP_Deoria,0.7043744471503595,1.016959405139466,0.6926278901504053
UP_Kushinagar,0.6855390104049222,0.9606359543578165,0.7136303896341293
UP_Gautam Buddha Nagar,0.6202504206644466,0.8513694459983779,0.7285326289071787
JK_Ramban,0.6599474418858537,0.9024287208647372,0.7313014608549583
NL_Peren,0.669956772334294,0.9153357203202317,0.731924645200024
AR_Upper Dibang Valley,0.5963076923076923,0.8133212505663797,0.733176087422327
JK_Shopiyan,0.697832682237553,0.9505788393903869,0.7341134194456487
CT_Narayanpur,0.7317578312807427,0.9944653657423257,0.7358303833281483
AR_Papum Pare,0.7221783993518953,0.9799174721356327,0.7369787965694491
JK_Bandipora,0.6604598970798377,0.8886363636363637,0.7432285286831932
UP_Prayagraj,0.6750499394177555,0.9012637113334251,0.7490037942601895
UP_Sonbhadra,0.6913288551637381,0.9175070829695762,0.7534861234271932
JK_Budgam,0.6794227339062754,0.893636585175899,0.760289747730663
UP_Mau,0.745583449558345,0.9789631195226737,0.7616052481342497
HR_Gurugram,0.6510265385268187,0.8543535490822711,0.7620106912719423
MH_Ratnagiri,0.8573086855873576,1.1219608971503874,0.764116367838481
UP_Maharajganj,0.7209047982304321,0.9429674167760687,0.7645065835839258
UP_Hamirpur,0.839862362375007,1.0950292532362833,0.7669771011987596
PB_S.A.S. Nagar,0.6751621955640841,0.8793053605742434,0.767835868899013
JH_Latehar,0.743441946003014,0.9665806430669848,0.7691463214533802
UP_Azamgarh,0.7839558567500041,1.0192144083774033,0.7691765837553921
JK_Kulgam,0.7343468439887313,0.9505698005698006,0.7725333200660713
JK_Pulwama,0.7056020146850992,0.9123467911445964,0.7733923345089833
AR_Tirap,0.7335965219129479,0.9438754253176863,0.7772175249355989
JK_Anantnag,0.7267464398300187,0.9270374995310549,0.7839450294056561
PB_Ludhiana,0.685673463262662,0.8731711260638093,0.7852681367896659
OR_Angul,0.7426731372414997,0.9426354011938058,0.7878689218556159
JH_Bokaro,0.7294070797959772,0.9223681426388903,0.7907982139421549
NL_Dimapur,0.7278011178446171,0.9190603564444715,0.791896976886512
UP_Varanasi,0.726902274946832,0.9131709591296334,0.796019921220076
PB_Bathinda,0.6922914939261131,0.868313515797292,0.7972828722934778
HP_Solan,0.7013853857336332,0.8795545968635224,0.7974324598322403
BR_Siwan,0.7906160853961535,0.9882298861553708,0.8000325597032711
JK_Kishtwar,0.7369087128891874,0.9198269046727416,0.8011384632757254
UP_Ballia,0.7505246385300985,0.9366191205462125,0.8013125314934971
GJ_Bharuch,0.7414766657004431,0.9250409888458211,0.8015608763732597
JK_Reasi,0.7140898823895943,0.8903346729864653,0.8020465832183195
UP_Ayodhya,0.7731751244835258,0.961687101271169,0.8039778462886048
UP_Jaunpur,0.8245415114949504,1.0239922718889962,0.8052223968193513
TN_Thiruvallur,0.796306806132568,0.9871965851874831,0.8066344820077934
NL_Zunheboto,0.7893360160965794,0.9764522515691478,0.8083713410749223
UP_Sant Kabir Nagar,0.7872491191375611,0.9722545466253323,0.8097150297420365
PB_Mansa,0.7156054107555262,0.8832658074239355,0.8101812667724628
UP_Siddharthnagar,0.7945067798812979,0.9761461514406279,0.813921950835681
JH_Dhanbad,0.742552621805336,0.9093677184776764,0.8165592495942163
JH_East Singhbhum,0.7761705101327743,0.949116409012815,0.8177822053883533
HP_Lahaul and Spiti,0.7383811755516501,0.9028213166144201,0.8178597048645012
HR_Faridabad,0.7157805943622858,0.8732163004212771,0.8197059468736011
OR_Jajpur,0.7984734489716947,0.9731370554428888,0.8205148951072445
UP_Lakhimpur Kheri,0.7337018184846308,0.8939655338884422,0.820727187650379
NL_Kohima,0.7636298524566681,0.9284429284861045,0.822484429604977
AR_Changlang,0.7619002266709842,0.9263138743047252,0.8225076270641558
MP_Sidhi,0.7894783876772592,0.9569534928947478,0.8249913852021347
UP_Basti,0.7982199871352552,0.9632908246180908,0.8286386278533484
UP_Moradabad,0.7515891236125445,0.9063729183528512,0.82922725116104
JH_Garhwa,0.7755688803030684,0.9350970998061661,0.8293993003120576
OR_Jharsuguda,0.7907141295718905,0.9532340153021672,0.8295068334518473
ML_East Garo Hills,0.8077812442650028,0.9719084745972969,0.8311289235333614
MH_Aurangabad,0.7702061866643958,0.926218108356513,0.8315602769104291
BR_West Champaran,0.7572800911399249,0.9091858270543542,0.8329211351582718
KL_Malappuram,0.915095624867072,1.0980774645875588,0.8333616291914201
ML_Ribhoi,0.794366353892371,0.9530524933789076,0.8334969578391865
UP_Gorakhpur,0.7918803398302767,0.9496618852503999,0.8338550300157404
JK_Baramulla,0.7382242465757872,0.8851258478530407,0.8340330907366702
GJ_Valsad,0.7701879226630581,0.9224929048197633,0.8348984785021598
UP_Sultanpur,0.8214032431332533,0.9832574770733725,0.835389775603973
UP_Kaushambi,0.7583897659881391,0.9077216646690162,0.8354871272844103
WB_Paschim Medinipur,0.807557257620178,0.9659850692430063,0.8359935192921977
UP_Ambedkar Nagar,0.8182056483070682,0.9777863923920126,0.8367938587337534
UP_Lucknow,0.767819146857192,0.9168444369457034,0.8374584781416557
UP_Rampur,0.7620209775324609,0.90852193295307,0.8387480256591926
UP_Bhadohi,0.8015318847178181,0.9554143915430449,0.8389363733817131
MP_Tikamgarh,0.7569546481960072,0.9006464085854634,0.840457077250621
OR_Boudh,0.8343698668932313,0.9905786802030457,0.8423054963409922
HR_Rewari,0.7565609443684318,0.8980931198414622,0.8424081285713282
