districtid,monthid,dose1,dose2
AP_Anantapur,1,15323,730
AP_Anantapur,2,37925,12740
AP_Anantapur,3,247141,19856
AP_Anantapur,4,145318,138488
AP_Anantapur,5,255680,31260
AP_Anantapur,6,331417,101799
AP_Anantapur,7,331973,292474
AP_Chittoor,1,30091,340
AP_Chittoor,2,51902,21464
AP_Chittoor,3,301198,29836
AP_Chittoor,4,142861,138756
AP_Chittoor,5,291045,46657
AP_Chittoor,6,344063,84497
AP_Chittoor,7,405138,319314
AP_East Godavari,1,40366,301
AP_East Godavari,2,58310,25601
AP_East Godavari,3,284354,39754
AP_East Godavari,4,117436,139769
AP_East Godavari,5,449790,49546
AP_East Godavari,6,459931,110817
AP_East Godavari,7,518850,186685
AP_Guntur,1,22279,1086
AP_Guntur,2,53718,17868
AP_Guntur,3,259840,33024
AP_Guntur,4,161876,112864
AP_Guntur,5,368970,65573
AP_Guntur,6,464820,115211
AP_Guntur,7,427122,246815
AP_Krishna,1,24659,525
AP_Krishna,2,49335,20469
AP_Krishna,3,289038,25617
AP_Krishna,4,133957,142162
AP_Krishna,5,440711,68656
AP_Krishna,6,375048,131110
AP_Krishna,7,445270,169050
AP_Kurnool,1,21404,507
AP_Kurnool,2,31374,15074
AP_Kurnool,3,238433,20149
AP_Kurnool,4,99301,117334
AP_Kurnool,5,261405,26473
AP_Kurnool,6,284107,73875
AP_Kurnool,7,307565,239216
AP_Prakasam,1,21893,137
AP_Prakasam,2,28123,10598
AP_Prakasam,3,220967,23417
AP_Prakasam,4,106354,107527
AP_Prakasam,5,290723,53990
AP_Prakasam,6,321236,62132
AP_Prakasam,7,244329,257990
AP_S.P.S. Nellore,1,32205,656
AP_S.P.S. Nellore,2,42570,23078
AP_S.P.S. Nellore,3,208389,34130
AP_S.P.S. Nellore,4,109544,117798
AP_S.P.S. Nellore,5,260746,25673
AP_S.P.S. Nellore,6,260949,148451
AP_S.P.S. Nellore,7,244915,178903
AP_Srikakulam,1,25982,713
AP_Srikakulam,2,32440,19604
AP_Srikakulam,3,180155,18037
AP_Srikakulam,4,79260,73897
AP_Srikakulam,5,273633,19623
AP_Srikakulam,6,263585,87996
AP_Srikakulam,7,174293,117102
AP_Visakhapatnam,1,28630,241
AP_Visakhapatnam,2,53375,23442
AP_Visakhapatnam,3,283951,31362
AP_Visakhapatnam,4,144540,127856
AP_Visakhapatnam,5,452257,49829
AP_Visakhapatnam,6,453246,109245
AP_Visakhapatnam,7,459875,281184
AP_Vizianagaram,1,14857,342
AP_Vizianagaram,2,24124,12208
AP_Vizianagaram,3,163208,14968
AP_Vizianagaram,4,64397,69226
AP_Vizianagaram,5,215992,14838
AP_Vizianagaram,6,223189,47235
AP_Vizianagaram,7,216806,61200
AP_West Godavari,1,20170,104
AP_West Godavari,2,47197,17099
AP_West Godavari,3,219748,34808
AP_West Godavari,4,104575,109868
AP_West Godavari,5,400069,55813
AP_West Godavari,6,451595,55349
AP_West Godavari,7,399541,158923
AP_Y.S.R. Kadapa,1,15747,552
AP_Y.S.R. Kadapa,2,34619,11892
AP_Y.S.R. Kadapa,3,227710,22896
AP_Y.S.R. Kadapa,4,93135,115574
AP_Y.S.R. Kadapa,5,248519,31663
AP_Y.S.R. Kadapa,6,274484,85325
AP_Y.S.R. Kadapa,7,149353,127378
AR_Anjaw,1,387,0
AR_Anjaw,2,391,288
AR_Anjaw,3,971,325
AR_Anjaw,4,1253,625
AR_Anjaw,5,2368,21
AR_Anjaw,6,4370,334
AR_Anjaw,7,1193,956
AR_Changlang,1,968,0
AR_Changlang,2,2114,813
AR_Changlang,3,7618,1387
AR_Changlang,4,8035,2038
AR_Changlang,5,11005,396
AR_Changlang,6,35250,4923
AR_Changlang,7,10604,7349
AR_East Kameng,1,260,0
AR_East Kameng,2,676,256
AR_East Kameng,3,2351,516
AR_East Kameng,4,3264,1049
AR_East Kameng,5,5195,38
AR_East Kameng,6,5214,1392
AR_East Kameng,7,3461,2932
